,Outline via proposed method,Ground truth mask,Variable threshold,Outline + threshold,Static Threshold
0,0.0,0.0,0.0,0.0,0.0
1,7.079081632653061,27.455357142857146,32.8922193877551,36.453683035714285,24.57748724489796
2,5.961017219387755,16.90449617346939,18.969228316326532,21.950733418367346,13.43670280612245
3,0.0,0.0,0.0,0.0,0.0
4,5.632174744897959,5.994897959183673,9.618144132653061,12.24689094387755,1.6761001275510203
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,3.1309789540816326,2.9137436224489797,8.687420280612244,10.315688775510203,5.163823341836735
13,0.0,0.0,0.0,0.0,0.0
14,6.993383290816327,11.328125,13.46061862244898,17.097815688775512,5.090082908163265
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,1.3572225765306123,3.4438775510204076,3.2704878826530615,4.005899234693878,1.305404974489796
18,6.991390306122448,17.18152104591837,24.286511479591837,27.804129464285715,17.769451530612244
19,0.0,0.412547831632653,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,2.489237882653061,68.99115114795919,72.56058673469387,73.8101881377551,69.89198022959184
22,0.0,0.0,0.0,0.0,0.0
23,11.015226403061225,30.99888392857143,35.291772959183675,40.9000318877551,26.498724489795915
24,1.3233418367346939,5.470742984693878,5.237563775510204,5.897241709183673,3.579400510204082
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,10.768096301020408,28.300382653061224,31.138392857142854,36.766581632653065,22.739955357142858
32,3.3801020408163267,3.830516581632653,7.186702806122448,8.91063456632653,2.2261639030612246
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.3148915816326531,0.0,0.18534757653061226,0.3627232142857143,0.0
36,1.692044005102041,9.612165178571429,9.897161989795919,10.756138392857142,8.151307397959185
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
42,10.11639030612245,26.61830357142857,31.33968431122449,36.61910076530612,22.03045280612245
43,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0
45,8.123405612244898,22.257653061224488,30.978954081632654,35.204081632653065,22.197863520408163
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,15.334024234693878,39.21197385204081,48.76036352040816,56.38950892857143,30.237563775510207
49,0.0,1.4907525510204083,0.0,0.0,0.0
